Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
miedo	N	51738	130.497	149.874
esfuerzo	N	51727	130.469	149.842
conjunto	N	51618	130.194	149.526
década	N	51584	130.108	149.428
vender	V	51582	130.103	149.422
unidad	N	51552	130.027	149.335
elección	N	51528	129.967	149.266
consecuencia	N	51417	129.687	148.944
boca	N	51390	129.619	148.866
comentar	V	51356	129.533	148.767
aplicar	V	51331	129.47	148.695
superior	A	51323	129.45	148.672
estudiante	N	51093	128.87	148.006
elegir	V	50954	128.519	147.603
3	N	50900	128.383	147.446
personal	A	50897	128.375	147.438
central	A	50680	127.828	146.809
brazo	N	50672	127.808	146.786
histórico	A	50501	127.377	146.291
planta	N	50442	127.228	146.12
comisión	N	50311	126.897	145.74
colocar	V	50087	126.332	145.091
marcar	V	50084	126.325	145.083
texto	N	50061	126.267	145.016
artículo	N	50045	126.226	144.97
hospital	N	49986	126.078	144.799
factor	N	49939	125.959	144.663
Dios	K	49930	125.936	144.637
banco	N	49929	125.934	144.634
origen	N	49918	125.906	144.602
diez	M	49906	125.876	144.567
título	N	49853	125.742	144.414
presente	A	49835	125.697	144.361
médico	N	49825	125.672	144.332
antiguo	A	49649	125.228	143.823
crecimiento	N	49487	124.819	143.353
estrategia	N	49388	124.569	143.067
joven	A	49375	124.537	143.029
según	R	49320	124.398	142.87
don	N	49168	124.014	142.429
relacionar	V	49081	123.795	142.177
soler	V	49067	123.76	142.137
acceso	N	49019	123.639	141.998
cuál	W	48871	123.265	141.569
significar	V	48858	123.233	141.531
importancia	N	48852	123.217	141.514
plantear	V	48802	123.091	141.369
cubrir	V	48794	123.071	141.346
consumo	N	48707	122.852	141.094
superar	V	48666	122.748	140.975
tarde	R	48617	122.625	140.833
éxito	N	48598	122.577	140.778
contrario	A	48509	122.352	140.52
caminar	V	48501	122.332	140.497
fecha	N	48490	122.304	140.465
requerir	V	48400	122.077	140.205
entrada	N	48275	121.762	139.842
premio	N	48212	121.603	139.66
matar	V	48205	121.585	139.64
dolor	N	48077	121.263	139.269
identificar	V	47971	120.995	138.962
mal	R	47936	120.907	138.86
celebrar	V	47925	120.879	138.829
cabo	N	47876	120.756	138.687
ti	L	47865	120.728	138.655
negocio	N	47742	120.418	138.298
estructura	N	47702	120.317	138.183
inversión	N	47672	120.241	138.096
animal	N	47575	119.996	137.815
repetir	V	47544	119.918	137.725
científico	A	47499	119.805	137.595
organizar	V	47483	119.764	137.548
teléfono	N	47397	119.548	137.299
informe	N	47333	119.386	137.114
trabajador	N	47261	119.204	136.905
encima	R	47131	118.877	136.528
cámara	N	47081	118.75	136.384
importar	V	47038	118.642	136.259
materia	N	47025	118.609	136.221
alimento	N	46999	118.544	136.146
material	N	46991	118.523	136.123
andar	V	46822	118.097	135.633
sala	N	46759	117.938	135.451
memoria	N	46705	117.802	135.294
sol	N	46660	117.689	135.164
abandonar	V	46630	117.613	135.077
reunión	N	46568	117.457	134.898
analizar	V	46555	117.424	134.86
ingreso	N	46466	117.199	134.602
lanzar	V	46446	117.149	134.544
carta	N	46435	117.121	134.512
atrás	R	46390	117.008	134.382
faltar	V	46318	116.826	134.173
gracias a	P	46292	116.76	134.098
disponer	V	46166	116.443	133.733
plaza	N	45990	115.999	133.223
televisión	N	45978	115.968	133.188
internet	N	45962	115.928	133.142
obligar	V	45955	115.91	133.122
desear	V	45949	115.895	133.104
nación	N	45933	115.855	133.058
mar	N	45930	115.847	133.049
sumar	V	45777	115.461	132.606
Argentina	K	45712	115.298	132.418
página	N	45682	115.222	132.331
par	N	45670	115.192	132.296
prensa	N	45491	114.74	131.778
fácil	A	45397	114.503	131.505
siete	M	45285	114.22	131.181
especialmente	R	45279	114.205	131.164
administración	N	45233	114.089	131.03
actuar	V	45227	114.074	131.013
campaña	N	45203	114.014	130.943
departamento	N	45148	113.875	130.784
defensa	N	45096	113.744	130.634
club	N	45063	113.661	130.538
contenido	N	45054	113.638	130.512
corazón	N	45033	113.585	130.451
cama	N	45000	113.502	130.355
interior	N	44937	113.343	130.173
finalmente	R	44834	113.083	129.875
violencia	N	44811	113.025	129.808
ciudadano	N	44797	112.99	129.767
Colombia	K	44715	112.783	129.53
gestión	N	44713	112.778	129.524
técnico	A	44603	112.5	129.205
abuelo	N	44594	112.478	129.179
demasiado	R	44515	112.278	128.95
líder	N	44399	111.986	128.614
enviar	V	44367	111.905	128.522
América	K	44328	111.807	128.409
lleno	A	44304	111.746	128.339
rápido	A	44246	111.6	128.171
declarar	V	44173	111.416	127.96
registrar	V	44148	111.353	127.887
justicia	N	43995	110.967	127.444
escenario	N	43965	110.891	127.357
Europa	K	43933	110.81	127.265
así que	C	43898	110.722	127.163
reunir	V	43810	110.5	126.908
10	M	43760	110.374	126.763
operación	N	43755	110.361	126.749
etcétera	Q	43604	109.981	126.312
víctima	N	43575	109.907	126.228
ubicar	V	43512	109.749	126.045
novela	N	43411	109.494	125.752
pretender	V	43401	109.469	125.723
asociación	N	43384	109.426	125.674
funcionar	V	43278	109.158	125.367
característica	N	43263	109.12	125.324
suficiente	A	43087	108.677	124.814
cuadro	N	43069	108.631	124.762
manifestar	V	43043	108.566	124.686
domingo	N	43012	108.487	124.597
quizá	R	42994	108.442	124.544
lejos	R	42991	108.434	124.536
civil	A	42943	108.313	124.397
